welfare_id,welfare_service_name,welfare_dept_name,welfare_target_detail,welfare_crit,welfare_service_content,welfare_howto,welfare_contact,welfare_phone,welfare_site_name,welfare_site_link,welfare_purpose,welfare_family,welfare_target,welfare_life
WLF00000892,긴급복지 장제비지원,보건복지부 기초생활보장과,"긴급지원대상자 중 가구구성원이 사망한 경우 사체의 검안,운반,화장 또는 매장 기타 장제조치를 행하는데 필요한 비용을 지원합니다.
위기사유는 구체적으로 다음과 같은 경우를 말합니다. 

주소득자(主所得者)가 사망, 가출, 행방불명, 구금시설에 수용되는 등의 사유로 소득을 상실한 경우
중한 질병이나 부상을 당한 경우
가구구성원으로부터 방임(放任) 또는 유기(遺棄)되거나 학대 등을 당한 경우
가정폭력 또는 가구구성원으로부터 성폭력을 당한 경우
화재 또는 자연재해 등으로 인하여 거주하는 주택 또는 건물에서 생활하기 곤란한 경우
주소득자 또는 부소득자의 휴업, 폐업 또는 사업장의 화재 등으로 인하여 실질적인 영업이 곤란하게 된 경우
주소득자 또는 부소득자의 실직으로 소득을 상실한 경우
보건복지부령의 기준에 따라 지방자치단체의 조례로 정한 사유가 발생한 경우
그 밖에 보건복지부 장관이 정하여 고시하는 경우

그 밖에 보건복지부 장관이 정하여 고시하는 경우는 다음과 같습니다. 

주소득자와 이혼한 때
단전된 경우(전류 제한기를 부설한 경우 포함)
교정시설에서 출소한 자가 생계가 곤란한 경우
가족으로부터 방임(放任)유기(遺棄) 또는 생계곤란 등으로 노숙을 하는 경우
복지사각지대 발굴대상자, 통합사례관리 대상자 또는 자살고위험군으로서 관련 부서(기관)로 부터 생계가 어렵다고 추천을 받은 경우
(한시) 코로나19로 인하여 주소득자 또는 부소득자가 무급휴직 등으로 소득을 상실한 경우
(한시) 코로나19로 인하여 자영업자, 특수형태 근로종사자 또는 프리랜서인 주소득자 또는 부소득자의 소득이 급격히 감소한 경우","



소득 기준은 기준 중위소득 75%(1인기준 1,458천원, 4인기준 3,841천원) 이하일 경우 선정합니다.
재산*기준은 다음과 같습니다.
*(재산의 의미) 일반재산 + 금융재산 + 보험, 청약저축, 주택청약 종합저축 - 부채 

대도시:2억 4,100만원 이하
중소도시: 1억 5,200만원 이하
농어촌: 1억 3,000만원 이하

금융 재산 기준은 600만원 이하(단, 주거지원은 800만원 이하)일 경우에 지원합니다.

",1인당 80만원을 지원합니다.,"거주지 읍/면/동 주민센터, 시군구에서 ‘서비스 신청’",보건복지부 콜센터,129,보건복지부 콜센터,http://www.129.go.kr,9,12,5,6
WLF00000896,중독관리통합지원센터 운영,보건복지부,"인구 20만 이상 시/구에 중독관리통합지원센터 1개소 설치를 원칙으로 하며, 현재 전국 50개소 센터에 대한 운영을 지원합니다.
이용대상은 다음과 같습니다.
※ 해당 중독관리통합지원센터(구, 알콜상담센터)는 관내 주민을 우선하되, 상황에 따라 인근 지역주민에게도 관련 서비스 제공 가능


지역사회 내 알콜 의존자, 문제음주자와 그 가족 등 지역주민
의료기관 또는 시설 등에서 퇴원(소)한 알코올 의존자 중 사회적응훈련을 필요로 하는 알콜 의존 및 남용자
기타 알콜 관련 상담 및 재활훈련 서비스가 필요한 자","


중독관리통합지원센터는 시/군/구 단위로 설치운영(국비 50%, 지방비 50% 지원)하며, 지자체에서 제출한 사업계획을 검토하여 지원대상 센터를 선정합니다.




","다음을 지원합니다.

알콜 등 중독자관리
중독자 가족지원
중독폐해 예방 및 교육
지역사회 사회안전망 조성
지역진단 및 기획 등","거주지 읍/면/동 주민센터, 에서 ‘서비스 신청’",보건복지부 콜센터,129,보건복지부 콜센터,http://www.129.go.kr,9,12,5,6
WLF00000917,긴급복지 주거지원,보건복지부 기초생활보장과,"위기사유의 발생으로 임시거소 제공 또는 주거비 지원이 필요한 사람에게 지원합니다.
위기 상황이란 구체적으로 다음과 같은 경우를 말합니다. 

주 소득자가 사망, 가출, 행방불명, 구금시설에 수용되는 등의 사유로 소득을 상실한 경우
중한 질병 또는 부상을 당한 경우
가구 구성원으로부터 방임 또는 유기되거나 학대 등을 당한 경우
가정폭력 또는 가구 구성원으로부터 성폭력을 당한 경우
화재 또는 자연재해 등으로 인하여 거주하는 주택 또는 건물에서 생활하기 곤란한 경우
주소득자 또는 부소득자의 휴업, 폐업 또는 사업장의 화재 등으로 인하여 실질적인 영업이 곤란하게 된 경우
주소득자 또는 부소득자의 실직으로 소득을 상실한 경우
보건복지부령으로 정하는 기준에 따라 지방자치단체의 조례로 정한 사유가 발생한 경우

그 밖에 보건복지부 장관이 정하여 고시하는 경우는 다음과 같습니다. 

주소득자와 이혼한 때
단전된 때
교정 시설에서 출소하여 생계가 곤란한 경우
가족으로부터 방임유기 또는 생계 곤란 등으로 노숙을 하는 경우
복지사각지대 발굴대상자, 통합사례관리 대상자 또는 자살고위험군으로서 관련 부서(기관)로 부터 생계가 어렵다고 추천을 받은 경우
(한시) 코로나19로 인하여 주소득자 또는 부소득자가 무급휴직 등으로 소득을 상실한 경우
(한시) 코로나10로 인하여 자영업자, 특수형태 근로종사자, 프리랜서인 주소득자 또는 부소득자의 소득이 급격히 감소한 경우","



소득 기준은 기준 중위소득 75%(1인 기준 1,459,000원, 4인 기준 3,841,000원) 이하일 경우 선정합니다.
재산* 기준은 다음과 같습니다. * (재산의 의미) 일반재산 + 금융재산 + 보험, 청약저축, 주택청약 종합저축 - 부채

대도시: 2억 4,100만원
중소도시: 1억 5,200만원
농어촌:
1억 3,000만원 이하

금융 재산 기준은 600만원 이하일 경우에 지원합니다. (단, 주거지원은 800만원 이하)

","(지원대상)위기사유의 발생으로 임시거소 제공 또는 주거비 지원이 필요하다고 인정되는 사람
(원칙)시장군수구청장은 국가 또는 지방자치단체가 소유한 임시거소를 제공하거나 임시로 거처할 수 있는 주거를 확보하여 제공

국가 또는 지방자치단체의 소유가 아닌 타인 소유의 임시거소에 대한 지원의 경우- 임시거소 제공자가 거소사용 비용을 제2호 서식에 따라 청구한 후, - 시장군수구청장이 임시거소 제공자에 지급(상한액 내 실비지급) 

(지원기준) 지역별, 가구원수별 지원기준(대도시 4인가구의 경우, 643,200원)을 고려하여 유사한 수준의 임시거소를 확보하여 제공","거주지 읍/면/동 주민센터, 시군구에서 ‘서비스 신청’",보건복지상담센터,129,보건복지상담센터,http://www.129.go.kr,9,12,5,6
WLF00000922,여성기업 판로지원,중소벤처기업부 정책총괄과,"지원대상 및 선정기준


여성기업, (예비)여성창업자를지원합니다.","



여성기업, (예비)여성창업자를지원합니다.




","여성기업 확인제도를 운영합니다.
TV홈쇼핑을 통한 판매를 지원합니다.
해외진출을 지원합니다.","거주지 읍/면/동 주민센터, 에서 ‘서비스 신청’",한국여성경제인협회,02-369-0990,한국여성경제인협회,,9,12,5,6
WLF00000888,영구임대주택공급,국토교통부,"다음에 해당되는 경우에 지원합니다.

생계의료급여 수급자
국가유공자
일본군 위안부 피해자
지원대상 한부모가족
도시근로자 월평균소득 70% 이하의 북한이탈주민 및 장애인 등 무주택세대 구성원","


지자체 기준에 따라 모집 기준이 상이합니다.

국민기초생활보장법상의 생계급여수급자 또는 의료급여수급자
유공자 또는 그 유족(참전유공자 유족 제외) 등으로서 수급자 선정기준의 소득인정액 이하이고 영구임대 자산요건을 충족하는 자
일본군위안부 피해자
지원대상 한부모가족
북한이탈주민으로서 전년도 도시근로자 가구당 월평균소득의 70%이하이고, 영구임대 자산요건을 자
장애인등록증이 교부된 자(지적장애인ㆍ정신장애인 및 장애의 정도가 심한 뇌병변 장애인의 경우에는 그 배우자를 포함)로서 전년도 도시근로자 가구당 월평균소득의 70%이하이고, 영구임대 자산요건을 충족하는 자
65세이상 직계존속 부양자로서 수급자 선정기준의 소득인정액 이하인 자(피부양자의 배우자도 무주택자이어야 함)
아동복지법에 따라 아동복지시설에서 퇴소하는 자로서 아동복지시설의 장이 추천하는 자로서 전년도 도시근로자 가구당 월평균소득의 70%이하이고, 영구임대 자산요건을 충족하는 자
65세 이상인 사람으로서 「국민기초생활 보장법」 제2조제1호에 따른 수급권자 또는 같은 조 제10호에 따른 차상위계층에 해당하는 사람
전년도 도시근로자 가구당 월평균소득 50%이하인 자로서 영구임대 자산요건을 충족 하는자
국토교통부장관 또는 시도지사가 영구임대주택의 입주가 필요하다고 인정하는 자
장애인등록증이 교부된자(지적장애인ㆍ정신장애인 및 장애의 정도가 심한 뇌병변 장애인의 경우에는 그 배우자를 포함)로서 전년도 도시근로자 가구당 월평균소득의 100%이하이고, 영구임대 자산요건을 충족하는 자






",임대료 시세의 30% 수준으로 영구임대주택을 공급합니다.,"거주지 읍/면/동 주민센터, 에서 ‘서비스 신청’",공공주택,,공공주택,http://portal.newplus.go.kr,9,12,5,6
WLF00000975,여성창업경진대회,중소벤처기업부 정책총괄과,여성기업 및 여성(예비)창업자를 지원합니다.,"
                                   
                                   
                                   
                                   
선정기준은 지원대상의 내용을 참고해주시기 바랍니다.
                                   
                                   
","여성 창업자를 대상으로 여성창업경진대회(수상자 32개 팀)를 개최하고, 대회 수상자는 여성기업종합지원센터 창업보육실 입주를 우대합니다.","거주지 읍/면/동 주민센터, 에서 ‘서비스 신청’",여성기업종합정보포털,,여성기업종합정보포털,www.wbiz.or.kr,9,12,5,6
WLF00001060,대학생근로장학금지원,교육부 대학재정장학과,"국내의 대학(대학원 제외)에 재학중이거나, 입학 예정인 대한민국 국민을 지원합니다.
기타 장학금과 중복 수혜도 가능하나, 대학생 근로장학금 지원 참여 중에는 국가근로장학 사업, 다문화ㆍ탈북학생 멘토링 사업, 대학생 청소년교육지원 사업에 중복 참여할 수 없습니다.","


성적 및 소득기준은 다음과 같습니다.

성적기준: 직전학기 성적 C0 수준(70점/100점 만점) 이상
소득기준: 학자금지원 8구간이하 저소득층 학생






","근로시간에 따라 매웝 지급합니다(교내 근로는 시간당 9,000원, 교외 근로는 시간당 11,500원)
학기당 520시간을 최대 근로시간으로 인정합니다. 세부 인정시간은 다음과 같습니다.

학기 중에는 주당 최대 20시간
방학 중에는 주당 최대 40시간
야간학과, 원격대학 학생, 취업연계유형, 농어촌지역 근로학생에 한해 학기 중 주당 40시간까지 활동가능


기타 장학금과 중복수혜 가능합니다. 단, 국가근로장학금, 대학생 청소년교육지원장학금, 다문화탈북학생 멘토링장학금은 중복 참여 및 수혜가 불가합니다.","거주지 읍/면/동 주민센터, 에서 ‘서비스 신청’",한국장학재단 상담센터,1599-2290,한국장학재단 상담센터,http://www.kosaf.go.kr/,9,12,5,6
WLF00001061,지역사회서비스투자사업,보건복지부 사회서비스사업과,"기준 중위소득이 120% 이하인 경우에 지원합니다.
단, 아동청소년 심리지원사업(중위소득160%), 장애인노인대상사업(중위소득 140%), 노인대상사업(기초연금수급자), 장애인보조기기렌탈비만아동건강관리서비스청년심리지원서비스(소득기준없음) 별도 기준 적용


선정 기준

해당 서비스 별로 지방자치단체의 장이 정한 서비스 이용기준을 충족하여야 합니다.

연령 기준 : 사업별로 다르게 적용
선정 우선순위 : 지역 수요 및 예산 상황을 감안하여 지자체의 장이 결정","
                                   
                                   
                                   
                                   
선정기준은 지원대상의 내용을 참고해주시기 바랍니다.
                                   
                                   
","지자체가 지역 특성 및 주민 수요에 맞게 발굴기획한 사회서비스를 제공하는 사업으로 복지부의 표준모델을 포함해 지자체별로 약 400여 개* 서비스를 개발하여 지역사회서비스별 바우처를 제공합니다.
* 영유아발달지원서비스, 아동청소년정서발달지원서비스, 아동청소년 심리지원 서비스, 장애인보조기기 렌탈서비스, 정신건강 토탈케어 서비스, 자살위험군 예방 서비스 등","거주지 읍/면/동 주민센터, 에서 ‘서비스 신청’",보건복지부 사회서비스사업과,044-202-3226,보건복지부 사회서비스사업과,www.mw.go.kr,9,12,5,6
WLF00001063,주거안정 월세대출,국토교통부 주택기금과,"우대형의 경우 사회취약계층(취업준비생, 사회초년생, 희망키움통장 가입자, 근로장려금 수급자, 자녀장려금 수급자, 주거급여 수급자) 중 무주택(세대원포함) 세대주인 자에게 지원합니다.
일반형의 경우 부부합산소득 5천만원 이하인 자에게 지원합니다.","
                                   
                                   
                                   
                                   
선정기준은 지원대상의 내용을 참고해주시기 바랍니다.
                                   
                                   
","주거 안정을 위한 월세 대출을 지원합니다.

대출 금리: 우대형 1.0%, 일반형 2.0%
지원 한도: 월 40만원씩 2년간, 최대 960만원","거주지 읍/면/동 주민센터, 에서 ‘서비스 신청’",주택도시기금,1566-9009,주택도시기금,nhuf.milit.go.kr,9,12,5,6
WLF00001069,산재근로자합병증등예방관리,고용노동부 산재보상정책과,의학적으로 합병증 등 예방관리를 위한 진료가 필요한 44개 증상을 지원합니다.,"


산업재해보상보험법 제57조에 따라 장해급여 지급 결정을 받은 자 중 예방관리 적용대상 장해등급 기준에 충족되거나 혹은 무장해자에 따른 예방관리 증상 상병(심근경색, 협심증, 기관지천식에 한함)의 치유를 결정한 자 중 합병증 등 예방관리가 필요하다고 인정된 자 입니다.




","증상에 따라 지원하는 범위는 다릅니다.
기본적으로 진찰약제처치검사물리치료, 기타 필요한 의학적 조치 등을 지원하며, 한방진료도 포함됩니다.","거주지 읍/면/동 주민센터, 에서 ‘서비스 신청’",근로복지공단 고객지원센터,1588-0075,근로복지공단 고객지원센터,www.kcomwel.or.kr,9,12,5,6
